id1,id2,correlation,Metadata_line_ID1,Metadata_plating_density1,Metadata_line_ID2,Metadata_plating_density2,Count_Cells1,Count_Cells2,cell_count_abs_diff,cell_count_sum
47,46,0.910774988709807,47,10000,46,10000,770,567.5,202.5,1337.5
39,37,0.9075590556311931,39,10000,37,10000,1375.5,1298,77.5,2673.5
47,39,0.9025256617563165,47,10000,39,10000,770,1375.5,605.5,2145.5
47,37,0.8896820080999569,47,10000,37,10000,770,1298,528,2068
32,29,0.8763160717782454,32,10000,29,10000,6086.5,4622.5,1464,10709
47,45,0.8513424004330091,47,10000,45,10000,770,1074.5,304.5,1844.5
47,5,0.8295657405261587,47,10000,5,10000,770,1316,546,2086
39,5,0.8280984094400947,39,10000,5,10000,1375.5,1316,59.5,2691.5
31,4,0.8260193429215198,31,10000,4,10000,3363,3088.5,274.5,6451.5
5,1,0.8243249962556118,5,10000,1,10000,1316,1052,264,2368
43,34,0.8214839136466743,43,10000,34,10000,3754.5,3667,87.5,7421.5
46,39,0.8181634115533977,46,10000,39,10000,567.5,1375.5,808,1943
33,29,0.8164580570603329,33,10000,29,10000,3693.5,4622.5,929,8316
46,37,0.8143955537630935,46,10000,37,10000,567.5,1298,730.5,1865.5
33,32,0.811472842246468,33,10000,32,10000,3693.5,6086.5,2393,9780
37,11,0.8023105453152655,37,10000,11,10000,1298,1164,134,2462
46,45,0.7925325093927815,46,10000,45,10000,567.5,1074.5,507,1642
8,7,0.7916013706808702,8,10000,7,10000,2469,2547.5,78.5,5016.5
47,11,0.789918397683219,47,10000,11,10000,770,1164,394,1934
39,27,0.7892801241177546,39,10000,27,10000,1375.5,1683.5,308,3059
7,4,0.7847703915467761,7,10000,4,10000,2547.5,3088.5,541,5636
37,27,0.7837439352444066,37,10000,27,10000,1298,1683.5,385.5,2981.5
45,11,0.778005423233891,45,10000,11,10000,1074.5,1164,89.5,2238.5
46,5,0.7776799247048566,46,10000,5,10000,567.5,1316,748.5,1883.5
14,5,0.77640567909505,14,10000,5,10000,2670,1316,1354,3986
37,5,0.7740532692657655,37,10000,5,10000,1298,1316,18,2614
45,39,0.7661233074441252,45,10000,39,10000,1074.5,1375.5,301,2450
45,37,0.7618290402387365,45,10000,37,10000,1074.5,1298,223.5,2372.5
36,11,0.7493584336444001,36,10000,11,10000,1383.5,1164,219.5,2547.5
36,30,0.744465368556992,36,10000,30,10000,1383.5,1390,6.5,2773.5
39,11,0.7361163334634344,39,10000,11,10000,1375.5,1164,211.5,2539.5
43,12,0.7316816316998199,43,10000,12,10000,3754.5,3106,648.5,6860.5
27,5,0.7279421366468838,27,10000,5,10000,1683.5,1316,367.5,2999.5
31,7,0.7263796669743257,31,10000,7,10000,3363,2547.5,815.5,5910.5
23,12,0.7206496655533666,23,10000,12,10000,3597.5,3106,491.5,6703.5
47,27,0.7195118331810438,47,10000,27,10000,770,1683.5,913.5,2453.5
29,25,0.718873657174994,29,10000,25,10000,4622.5,3228.5,1394,7851
37,36,0.7181186527759803,37,10000,36,10000,1298,1383.5,85.5,2681.5
26,23,0.7152180958779752,26,10000,23,10000,2680.5,3597.5,917,6278
27,21,0.7149328282133143,27,10000,21,10000,1683.5,1749,65.5,3432.5
34,25,0.7140071492703642,34,10000,25,10000,3667,3228.5,438.5,6895.5
20,4,0.7031920160060607,20,10000,4,10000,3747,3088.5,658.5,6835.5
15,7,0.7003323949418522,15,10000,7,10000,3591.5,2547.5,1044,6139
39,21,0.6976789826292696,39,10000,21,10000,1375.5,1749,373.5,3124.5
39,1,0.6971138962230372,39,10000,1,10000,1375.5,1052,323.5,2427.5
34,12,0.6966694291231642,34,10000,12,10000,3667,3106,561,6773
