plate_map_name	well_position	plating_density	line_ID
cmQTL_plate6_8.27.2019	A01	10000	233
cmQTL_plate6_8.27.2019	A02	10000	233
cmQTL_plate6_8.27.2019	A03	10000	262
cmQTL_plate6_8.27.2019	A04	10000	262
cmQTL_plate6_8.27.2019	A05	10000	241
cmQTL_plate6_8.27.2019	A06	10000	241
cmQTL_plate6_8.27.2019	A07	10000	258
cmQTL_plate6_8.27.2019	A08	10000	258
cmQTL_plate6_8.27.2019	A09	10000	236
cmQTL_plate6_8.27.2019	A10	10000	236
cmQTL_plate6_8.27.2019	A11	10000	266
cmQTL_plate6_8.27.2019	A12	10000	266
cmQTL_plate6_8.27.2019	A13	10000	247
cmQTL_plate6_8.27.2019	A14	10000	247
cmQTL_plate6_8.27.2019	A15	10000	110
cmQTL_plate6_8.27.2019	A16	10000	110
cmQTL_plate6_8.27.2019	A17	10000	234
cmQTL_plate6_8.27.2019	A18	10000	234
cmQTL_plate6_8.27.2019	A19	10000	248
cmQTL_plate6_8.27.2019	A20	10000	248
cmQTL_plate6_8.27.2019	A21	10000	252
cmQTL_plate6_8.27.2019	A22	10000	252
cmQTL_plate6_8.27.2019	A23	10000	244
cmQTL_plate6_8.27.2019	A24	10000	244
cmQTL_plate6_8.27.2019	B01	10000	233
cmQTL_plate6_8.27.2019	B02	10000	233
cmQTL_plate6_8.27.2019	B03	10000	262
cmQTL_plate6_8.27.2019	B04	10000	262
cmQTL_plate6_8.27.2019	B05	10000	241
cmQTL_plate6_8.27.2019	B06	10000	241
cmQTL_plate6_8.27.2019	B07	10000	258
cmQTL_plate6_8.27.2019	B08	10000	258
cmQTL_plate6_8.27.2019	B09	10000	236
cmQTL_plate6_8.27.2019	B10	10000	236
cmQTL_plate6_8.27.2019	B11	10000	266
cmQTL_plate6_8.27.2019	B12	10000	266
cmQTL_plate6_8.27.2019	B13	10000	247
cmQTL_plate6_8.27.2019	B14	10000	247
cmQTL_plate6_8.27.2019	B15	10000	110
cmQTL_plate6_8.27.2019	B16	10000	110
cmQTL_plate6_8.27.2019	B17	10000	234
cmQTL_plate6_8.27.2019	B18	10000	234
cmQTL_plate6_8.27.2019	B19	10000	248
cmQTL_plate6_8.27.2019	B20	10000	248
cmQTL_plate6_8.27.2019	B21	10000	252
cmQTL_plate6_8.27.2019	B22	10000	252
cmQTL_plate6_8.27.2019	B23	10000	244
cmQTL_plate6_8.27.2019	B24	10000	244
cmQTL_plate6_8.27.2019	C01	10000	249
cmQTL_plate6_8.27.2019	C02	10000	249
cmQTL_plate6_8.27.2019	C03	10000	0
cmQTL_plate6_8.27.2019	C04	10000	0
cmQTL_plate6_8.27.2019	C05	10000	105
cmQTL_plate6_8.27.2019	C06	10000	105
cmQTL_plate6_8.27.2019	C07	10000	0
cmQTL_plate6_8.27.2019	C08	10000	0
cmQTL_plate6_8.27.2019	C09	10000	239
cmQTL_plate6_8.27.2019	C10	10000	239
cmQTL_plate6_8.27.2019	C11	10000	261
cmQTL_plate6_8.27.2019	C12	10000	261
cmQTL_plate6_8.27.2019	C13	10000	243
cmQTL_plate6_8.27.2019	C14	10000	243
cmQTL_plate6_8.27.2019	C15	10000	112
cmQTL_plate6_8.27.2019	C16	10000	112
cmQTL_plate6_8.27.2019	C17	10000	0
cmQTL_plate6_8.27.2019	C18	10000	0
cmQTL_plate6_8.27.2019	C19	10000	250
cmQTL_plate6_8.27.2019	C20	10000	250
cmQTL_plate6_8.27.2019	C21	10000	238
cmQTL_plate6_8.27.2019	C22	10000	238
cmQTL_plate6_8.27.2019	C23	10000	261
cmQTL_plate6_8.27.2019	C24	10000	261
cmQTL_plate6_8.27.2019	D01	10000	249
cmQTL_plate6_8.27.2019	D02	10000	249
cmQTL_plate6_8.27.2019	D03	10000	0
cmQTL_plate6_8.27.2019	D04	10000	0
cmQTL_plate6_8.27.2019	D05	10000	105
cmQTL_plate6_8.27.2019	D06	10000	105
cmQTL_plate6_8.27.2019	D07	10000	0
cmQTL_plate6_8.27.2019	D08	10000	0
cmQTL_plate6_8.27.2019	D09	10000	239
cmQTL_plate6_8.27.2019	D10	10000	239
cmQTL_plate6_8.27.2019	D11	10000	261
cmQTL_plate6_8.27.2019	D12	10000	261
cmQTL_plate6_8.27.2019	D13	10000	243
cmQTL_plate6_8.27.2019	D14	10000	243
cmQTL_plate6_8.27.2019	D15	10000	112
cmQTL_plate6_8.27.2019	D16	10000	112
cmQTL_plate6_8.27.2019	D17	10000	0
cmQTL_plate6_8.27.2019	D18	10000	0
cmQTL_plate6_8.27.2019	D19	10000	250
cmQTL_plate6_8.27.2019	D20	10000	250
cmQTL_plate6_8.27.2019	D21	10000	238
cmQTL_plate6_8.27.2019	D22	10000	238
cmQTL_plate6_8.27.2019	D23	10000	261
cmQTL_plate6_8.27.2019	D24	10000	261
cmQTL_plate6_8.27.2019	E01	10000	259
cmQTL_plate6_8.27.2019	E02	10000	259
cmQTL_plate6_8.27.2019	E03	10000	0
cmQTL_plate6_8.27.2019	E04	10000	0
cmQTL_plate6_8.27.2019	E05	10000	264
cmQTL_plate6_8.27.2019	E06	10000	264
cmQTL_plate6_8.27.2019	E07	10000	0
cmQTL_plate6_8.27.2019	E08	10000	0
cmQTL_plate6_8.27.2019	E09	10000	233
cmQTL_plate6_8.27.2019	E10	10000	233
cmQTL_plate6_8.27.2019	E11	10000	265
cmQTL_plate6_8.27.2019	E12	10000	265
cmQTL_plate6_8.27.2019	E13	10000	246
cmQTL_plate6_8.27.2019	E14	10000	246
cmQTL_plate6_8.27.2019	E15	10000	241
cmQTL_plate6_8.27.2019	E16	10000	241
cmQTL_plate6_8.27.2019	E17	10000	255
cmQTL_plate6_8.27.2019	E18	10000	255
